h3_index,latitude,longitude,gpu_count,construction_years,ng_configuration,ng_nameplate_mw,ng_base_lcoe,idling_cost_npv_millions,ng_total_lcoe,capex_npv,opex_npv,energy_npv,gas_price,state,facility_load_mw,annual_pue,eue_total_mwh,diesel_capacity_mw,used_cached_facility
8426035ffffffff,42.38520544779979,-98.18702363133788,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13906813221926947,5903.577395405712,0.8323206657237745,594065564.6570523,590206316.2413633,8515767.501868565,5.54,Nebraska,123.96272194213945,1.111150448781082,2432.6105208597332,150.0,True
8426037ffffffff,42.03860573458826,-97.87911726792127,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13898476056134607,5903.577395405712,0.8316240958554955,594071687.8919718,590538034.5798047,8523306.567477267,5.54,Nebraska,124.07246696436442,1.1121341576637707,2434.685079999577,150.0,True
8426039ffffffff,42.73390378002125,-97.37273759956932,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13907727345560159,5903.577395405712,0.830560900240408,594083255.8118423,593296193.2212505,8537551.963241117,5.57,South Dakota,124.27983500648658,1.1139929188256499,2438.605050658604,150.0,True
842603bffffffff,42.38687378968128,-97.06779872817408,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1389824676016249,5903.577395405712,0.8316049390544803,594071856.1723642,590547164.8790022,8523514.091337925,5.54,Nebraska,124.07548785738778,1.1121612356964732,2434.742185288774,150.0,True
842603dffffffff,42.73338908340156,-97.9344630285759,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13921708160722415,5903.577395405712,0.8317286094558638,594072963.5659134,592735895.1746975,8524879.598388493,5.57,South Dakota,124.09536533417223,1.1123394091578462,2435.1179381047486,150.0,True
8426041ffffffff,44.45786034694537,-97.21559059735972,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1393289987854019,5903.577395405712,0.8326634343695172,594064747.6828896,592288454.3775871,8514761.552889133,5.57,South Dakota,123.94807849707149,1.1110191910101646,2432.3337092815063,150.0,True
8426043ffffffff,44.10992406227635,-96.90313011926544,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13958247204131763,5903.577395405712,0.8347808817779386,594046209.6977382,591278605.7749587,8491931.674070297,5.57,South Dakota,123.61574745123555,1.1080403132883858,2426.051507186002,150.0,True
8426045ffffffff,44.45760781249125,-97.79393961003731,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.139538796431693,5903.577395405712,0.8344160061865997,594049396.1683923,591452262.0120807,8495856.983837461,5.57,South Dakota,123.67288758371295,1.108552493747567,2427.1316526147384,150.0,True
8426047ffffffff,44.11170206713256,-97.477776234596,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13954781388538295,5903.577395405712,0.8344913373895904,594048739.3320224,591416398.1483796,8495046.281800438,5.57,South Dakota,123.66108631845157,1.1084467120981654,2426.908568030004,150.0,True
8426049ffffffff,44.80514034692872,-96.9489441009621,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13963333731648958,5903.577395405712,0.8352058372807839,594042499.386508,591076541.2153046,8487364.574805299,5.57,South Dakota,123.54926488743313,1.10744439114786,2424.7947576079314,150.0,True
