h3_index,gpu_count,latitude,longitude,annual_pue,facility_load_mw,annual_energy_mwh,ac_coupled_base_lcoe,ac_coupled_total_lcoe,ac_topology,ac_retried,ac_coupled_solar_to_battery_mw_ratio,dc_coupled_base_lcoe,dc_coupled_total_lcoe,dc_topology,dc_retried,dc_coupled_solar_to_battery_mw_ratio,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_turbine_class,ng_cycle_type,ng_n_units,ng_nameplate_mw,ng_efficiency_net,ng_aux_load_fraction,diesel_capacity_mw,eue_total_mwh,ng_construction_years,natural_gas_threeyr_base_lcoe,natural_gas_threeyr_total_lcoe,ng_threeyr_construction_years
8448ebdffffffff,750000,33.063664581250286,-110.91369689804056,1.1126098713885262,985.1253434102804,6603532.902656056,0.3107858786219417,0.7514573577912895,mv_coupled,False,1.074906863341168,0.256509088519224,0.6996765078680869,mv_coupled,False,1.11775338920929,0.0684,1.051111762951131,0.1319298260986073,1.1291181690831664,3x GE 7HA.02 CC,h_class,CC,3,1574.205295774648,0.5198046418456761,0.025,1192.0,44196.45126077097,4.05,0.1241743971381552,0.8235109491889208,3.0
8448ec7ffffffff,24000,31.496173017501857,-111.15490910239647,1.1089183690825433,30.63522792444132,210611.9422422887,0.2411922135586405,0.6825602987081254,lv_direct,False,1.2211944954672325,0.1985010052464254,0.6431436941877797,lv_direct,False,1.2602698977346438,0.0684,1.0543831333605256,0.1915446750639744,1.1775278084245,1x GE LM6000PC SC,aero,SC,1,51.0,0.3723398328914356,0.02,40.0,15285.677328809596,4.0,0.1873324978547287,0.8889970864558215,3.0
8448ec7ffffffff,50000,31.496173017501857,-111.15490910239647,1.1089183690825433,63.82339150925274,438774.8796714348,0.2411922135586405,0.6825602987081254,lv_direct,False,1.2211944954672325,0.1985010052464254,0.64314369418778,lv_direct,False,1.2602698977346438,0.0684,1.0543831333605258,0.1650509166566407,1.1510340500171665,2x Siemens SGT-800 SC,aero,SC,2,124.0,0.3821824174469382,0.02,80.0,2253.470704010772,4.0,0.1617520885810546,0.8634166771821478,3.0
8448ec7ffffffff,100000,31.496173017501857,-111.15490910239647,1.1089183690825433,127.64678301850547,877549.7593428696,0.2485638815754321,0.6902200731628642,mv_coupled,False,1.2495789110922206,0.2038288039197031,0.6484714928610575,mv_coupled,False,1.2715825430561265,0.0684,1.0543831333605258,0.1596557945153736,1.160163699309223,2x GE 6F.03 CC,f_class,CC,2,258.2149565217392,0.4854944834789125,0.023,158.0,2477.4522988419944,4.05,0.1489896312916138,0.850654219892707,3.0
8448ec7ffffffff,750000,31.496173017501857,-111.15490910239647,1.1089183690825433,957.3508726387912,6581623.195071522,0.2485638815754321,0.6902200731628642,mv_coupled,False,1.2495789110922206,0.2038288039197031,0.6484714928610575,mv_coupled,False,1.2715825430561265,0.0684,1.054383133360526,0.1315520951400215,1.1320599999338712,3x GE 7HA.02 CC,h_class,CC,3,1574.205295774648,0.5195945050632687,0.025,1160.0,43874.13974915082,4.05,0.123826926479977,0.8254915150810702,3.0
8448ed3ffffffff,24000,32.02649517966465,-112.83573395575328,1.113368329739049,31.81255257636496,211457.1035119536,0.2484104652210682,0.6881110809913594,lv_direct,False,1.3654371609718283,0.2038769663149701,0.6467424873424001,lv_direct,False,1.5119027204702984,0.0684,1.0504423115909132,0.1956756609705177,1.1777179725614308,2x GE LM2500+G4 SC,aero,SC,2,70.0,0.3599203340902386,0.02,42.0,316.15649161531707,4.0,0.1912477448807395,0.8901078888699852,3.0
8448ed3ffffffff,50000,32.02649517966465,-112.83573395575328,1.113368329739049,66.27615120076032,440535.63231657,0.2484104652210682,0.6881110809913594,lv_direct,False,1.3654371609718283,0.2038769663149701,0.6467424873424001,lv_direct,False,1.5119027204702984,0.0684,1.0504423115909132,0.165315134042792,1.1473574456337052,2x Siemens SGT-800 SC,aero,SC,2,124.0,0.3822584883071478,0.02,82.0,2262.181060657096,4.0,0.1620095761786981,0.8608697201679438,3.0
8448ed3ffffffff,100000,32.02649517966465,-112.83573395575328,1.113368329739049,132.55230240152065,881071.26463314,0.2567286765137953,0.6967187073914627,mv_coupled,False,1.4686285394020004,0.2091875473414658,0.6520530683688958,mv_coupled,False,1.5695827073924864,0.0684,1.0504423115909132,0.1598902330191599,1.1563992627831263,2x GE 6F.03 CC,f_class,CC,2,258.2149565217392,0.4856380070012312,0.023,162.0,2487.0284131703334,4.05,0.1492103996516276,0.8480705436408734,3.0
8448ed3ffffffff,750000,32.02649517966465,-112.83573395575328,1.113368329739049,994.1422680114048,6608034.48474855,0.2567286765137953,0.6967187073914627,mv_coupled,False,1.4686285394020004,0.2091875473414658,0.6520530683688956,mv_coupled,False,1.5695827073924864,0.0684,1.0504423115909132,0.1320767781667878,1.1285858079307542,3x GE 7HA.02 CC,h_class,CC,3,1574.205295774648,0.5198478166791607,0.025,1202.0,44262.67358360737,4.05,0.1243092690110843,0.8231694130003299,3.0
8448ed5ffffffff,24000,31.76444826657261,-111.99404011422608,1.1131660850674163,31.593108927109068,211418.69207943667,0.2277348291034234,0.6673555767335142,lv_direct,False,1.2374632000049832,0.1893752689057943,0.6323212515939585,lv_direct,False,1.1936511043412323,0.0684,1.0506207331467812,0.1956868058148967,1.1779075389616778,2x GE LM2500+G4 SC,aero,SC,2,70.0,0.359917544586729,0.02,42.0,316.101165319272,4.0,0.1912584054002816,0.8902455212243994,3.0
8448ed5ffffffff,50000,31.76444826657261,-111.99404011422608,1.1131660850674163,65.81897693147722,440455.6084988264,0.2277348291034234,0.6673555767335142,lv_direct,False,1.2374632000049832,0.1893752689057943,0.6323212515939587,lv_direct,False,1.1936511043412323,0.0684,1.0506207331467814,0.1653215749285695,1.147542308075351,2x Siemens SGT-800 SC,aero,SC,2,124.0,0.382255030989807,0.02,82.0,2261.785186770623,4.0,0.1620157373068856,0.8610028531310034,3.0
8448ed5ffffffff,100000,31.76444826657261,-111.99404011422608,1.1131660850674163,131.63795386295445,880911.2169976528,0.2367769593923576,0.6764429312431549,mv_coupled,False,1.0686006747449248,0.1950229501002159,0.6379689327883803,mv_coupled,False,1.4906934639566585,0.0684,1.0506207331467814,0.1598990804060128,1.1565891600997318,2x GE 6F.03 CC,f_class,CC,2,258.2149565217392,0.4856314840519551,0.023,162.0,2486.5931917723588,4.05,0.1492182230453028,0.8482053388694206,3.0
8448ed5ffffffff,750000,31.76444826657261,-111.99404011422608,1.1131660850674163,987.2846539721584,6606834.127482396,0.2367769593923576,0.6764429312431549,mv_coupled,False,1.0686006747449248,0.1950229501002159,0.6379689327883801,mv_coupled,False,1.4906934639566585,0.0684,1.0506207331467812,0.1319291137569888,1.128619193450707,3x GE 7HA.02 CC,h_class,CC,3,1574.205295774648,0.519836304010054,0.025,1194.0,44245.01524821218,4.05,0.124173993656324,0.8231611094804416,3.0
