design_id,site,lat,lon,solar_mw,batt_mw,solar_batt_ratio,mean_soc,soc_p90,dod_w,mean_T,efc_annual,efc_cum,c_rate_max,c_rate_mean,year,t_yr,marginal_cal,marginal_cyc,total_cal,total_cyc
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8184266066732155,1.0,0.5369146124545061,29.997379488134207,126.02338778705361,612.129042792123,0.25805104166093246,0.043059357667198345,5,6,0.4891789859402911,0.23315484624127292,5.338120331502006,1.7023837724768276
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8170009293077704,1.0,0.535422467874071,29.99739779773689,126.88206778684531,738.1524305791766,0.2583721298290938,0.04335388575237258,6,7,0.45117708201683726,0.22548140007473227,5.786039352572578,1.9328780289952707
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8156182552199152,1.0,0.5379332440368317,29.99741506641808,127.68920612926784,865.0344983660218,0.2585738885256888,0.043622559601667305,7,8,0.4220959085895357,0.21730297990774594,6.205256116339903,2.1573456359712204
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8142701671586716,1.0,0.5369788444256891,29.997429628352858,128.4545087283056,992.7237044952897,0.2586779953927986,0.043863999246845684,8,9,0.3969862501118042,0.210681107276816,6.598631390342222,2.3753855088060325
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8129507976319302,1.0,0.5364379715083767,29.99744183056015,129.1842373460546,1121.1782132235953,0.25869875140938325,0.044076561098089925,9,10,0.37698376696257707,0.20566873301630606,6.9722405258984255,2.58997875518359
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8116526812434738,1.0,0.5451509298685512,29.99745359902821,129.88631953987405,1250.3624505696498,0.2586536313623277,0.04428327561231142,10,11,0.35998721076715157,0.2006603692718114,7.3279944554613925,2.80056345915142
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8103746226958349,1.0,0.544155321520103,29.99746498688464,130.56422205707347,1380.2487701095238,0.2585505068323362,0.0444547983106664,11,12,0.34396828622727593,0.1966376839976216,7.666990394061529,3.008022633270583
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8091127651375929,1.0,0.5456460527649734,29.997476027341886,131.220096464069,1510.8129921665973,0.2583945552800597,0.04467711487945604,12,13,0.33121028785591466,0.19151316252057304,7.993449535775459,3.2124830610464943
44,Boise,43.6,-116.2,454.4923287310628,227.92777479339804,0.49850476663389426,0.8381352710207538,1.0,0.4751194947173373,29.997570563099583,138.71953020071243,0.0,0.25,0.04867029122939399,0,1,2.0950695747898975,0.4506758280970173,2.0950695747898975,0.4506758280970173
44,Boise,43.6,-116.2,454.4923287310628,227.92777479339804,0.49850476663389426,0.834415763180021,1.0,0.5408033469745586,29.997626380882334,142.23486384594744,138.71953020071243,0.25653061637332125,0.04988094719614207,1,2,0.9076468905368698,0.35132076939698514,3.0011861846044803,0.8021572004461541
