design_id,site,solar_mw_initial,batt_mw_initial,solar_battery_ratio,year,capacity_fraction,solar_degradation,mean_soc,soc_p90,efc,mean_temp,c_rate_max,c_rate_mean,mean_soc_relative,soc_p90_relative,efc_relative,c_rate_max_relative,c_rate_mean_relative,uptime_pct
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,7,0.9241894506695469,0.9577759318338107,0.8700278069051809,1.0,121.33020851985727,29.997211755466445,0.27050730758599617,0.04247154110386492,0.9869660470460464,1.0,1.082411971607609,1.0820292303439847,1.076467259564822,99.93150684931507
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,8,0.9182420953481654,0.9525081642087249,0.8689801027054708,1.0,122.1225515912895,29.99722696801433,0.2722593543320498,0.0427266706008297,0.9857775235709868,1.0,1.0894806285942014,1.0890374173281991,1.0829336731512798,99.90867579908675
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,9,0.9126247868471526,0.9472693693055769,0.8679568153856464,1.0,122.88124351486901,29.99724151841978,0.2739351413669967,0.042958953210081086,0.9846166987869699,1.0,1.0962490767066932,1.0957405654679868,1.088821018355305,99.90867579908675
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,10,0.9072739808032553,0.9420593877743962,0.8669437205526064,1.0,123.6134118744387,29.997255546064913,0.27555072149061566,0.0432005466064623,0.9834674364361434,1.0,1.102780902599837,1.1022028859624626,1.094944351169988,99.8972602739726
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,11,0.9021631811982295,0.9368780611416371,0.8659532335348632,1.0,124.32157873821504,29.997269099880597,0.27711173012841933,0.04342495721169659,0.9823438205599684,1.0,1.109098606167633,1.1084469205136773,1.1006321756038382,99.8972602739726
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,12,0.8972616852794016,0.9317252318053582,0.864981783295236,1.0,125.0088752631426,29.997282243673308,0.27862551594650065,0.043656632176550775,0.9812418001471757,1.0,1.1152301211110374,1.1145020637860026,1.1065041196879124,99.8972602739726
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,0,1.0,1.0,0.8336563248476503,1.0,155.41132732461344,29.997762924731163,0.25,0.05373408382211934,1.0,1.0,1.0,1.0,1.0,99.73744292237443
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,1,0.9742870382512457,0.99,0.8291058858076069,1.0,159.44405138106944,29.997809330568067,0.2565978917760485,0.05507377644322178,0.9945415887765562,1.0,1.0259487138156456,1.026391567104194,1.0249318965879708,99.68036529680366
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,2,0.9615977928536533,0.9845550000000001,0.8267596176860413,1.0,161.49147062569173,29.997833146240264,0.25998395780224903,0.05574704853360594,0.9917271578754359,1.0,1.0391229095442862,1.0399358312089961,1.0374615991993144,99.6689497716895
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,3,0.9513571984781924,0.9791399475000001,0.8247925389148262,1.0,163.1793009414775,29.99785282943224,0.2627824758144515,0.05633156903680924,0.9893675778991493,1.0,1.0499833168571993,1.051129903257806,1.0483396204034776,99.62328767123287
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,4,0.9424437070499698,0.9737546777887501,0.823002029705976,1.0,164.6728233454715,29.997870310028976,0.2652678331128637,0.0568311437487838,0.9872197993056415,1.0,1.0595934426421392,1.061071332451455,1.057636786679325,99.58904109589041
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,5,0.9344036092484698,0.9683990270609121,0.8213220774400413,1.0,166.04517603145152,29.997886363865483,0.2675503364130541,0.05733694834485608,0.9852046376426604,1.0,1.0684238973432532,1.0702013456522164,1.0670498921069096,99.55479452054794
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,6,0.9270217885010583,0.9630728324120772,0.8197304712056974,1.0,167.3267360812202,29.997901348511093,0.26968082422769785,0.057778099417435495,0.9832954501430817,1.0,1.076670143429884,1.0787232969107914,1.0752597849942582,99.53196347031964
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,7,0.9201349072633681,0.9577759318338107,0.8182048091411025,1.0,168.54125568050742,29.997915545249352,0.2716992889048639,0.058179822169217174,0.9814653649879385,1.0,1.0844850152297394,1.0867971556194556,1.0827359104477328,99.50913242009133
